numThreads mpi omp Nspheres wallTime merge
4 4 1 500004 1024.77 1
8 8 1 500008 1042.29 1
16 16 1 500016 1325.14 1
32 32 1 500032 1782.34 1
64 64 1 500064 3138.08 1
