numThreads mpi omp Nspheres force TotalRuntime isendRecvForces sendRecvStates waitForces collisionChecker collider Merge
2 2 1 90002 -5.59504e+07 190.982 179.025 0.233636 0.0405904 0 0.0332011 1
2 2 1 40002 -3.86706e+07 82.8112 77.5945 0.186945 0.0379223 0 0.00847714 1
4 4 1 120004 -1.17203e+08 126.191 104.417 0.26829 0.0400335 0 0.0453223 1
8 8 1 280008 -2.68421e+08 263.504 167.817 0.227772 0.0434078 0 0.122031 1
16 16 1 600016 -5.70854e+08 445.54 251.647 0.281297 0.0451555 0 0.419115 1
32 32 1 1.24003e+06 -1.17572e+09 837.662 444.202 0.411383 0.049162 0 0.62442 1
