numThreads mpi omp Nspheres force TotalRuntime isendRecvForces sendRecvStates waitForces collisionChecker collider Merge
2 2 1 10002 -2.14269e+07 19.4868 18.1946 0.118098 0.0390056 0 0.00156564 1
4 4 1 30004 -6.07657e+07 30.8628 25.9333 0.264336 0.0385398 0 0.0196181 1
8 8 1 70008 -1.36852e+08 58.3106 35.0847 0.22346 0.0428044 0 0.0339552 1
16 16 1 150016 -2.89027e+08 93.2139 45.7578 0.230128 0.0425694 0 0.0961813 1
32 32 1 310032 -5.93375e+08 165.134 69.3134 0.401601 0.0484174 0 0.157584 1
64 64 1 630064 -1.20207e+09 308.157 107.913 0.737464 0.0536543 0 0.300186 1
