numThreads mpi omp Nspheres wallTime merge
2 2 1 90002 279.248 1
4 4 1 270004 500.793 1
8 8 1 630008 1208.12 1
2 2 1 40002 122.536 1
4 4 1 120004 219.009 1
8 8 1 280008 536.542 1
16 16 1 600016 1421.82 1
32 32 1 1.24003e+06 4790.23 1
