numThreads mpi omp Nspheres force TotalRuntime isendRecvForces sendRecvStates waitForces collisionChecker collider Merge
2 2 1 90002 -4.93173e+07 196.501 184.616 0.231943 0.0407199 0 0.0306631 1
4 4 1 270004 -1.45583e+08 280.081 231.279 0.31163 0.0407248 0 0.10222 1
8 8 1 630008 -3.38113e+08 498.987 285.922 0.242108 0.0451873 0 0.254308 1
2 2 1 40002 -3.32731e+07 86.9379 81.7634 0.186342 0.0380743 0 0.0140377 1
4 4 1 120004 -9.745e+07 122.009 100.079 0.314869 0.0404111 0 0.0418055 1
8 8 1 280008 -2.25804e+08 225.221 132.049 0.244888 0.0462659 0 0.128375 1
16 16 1 600016 -4.82511e+08 343.289 148.67 0.29097 0.0462046 0 0.371858 1
32 32 1 1.24003e+06 -9.95926e+08 575.384 174.622 0.493043 0.0535296 0 0.557416 1
