numThreads mpi omp Nspheres wallTime merge
2 2 1 500002 1143.35 1
4 4 1 500004 626.863 1
8 8 1 500008 556.88 1
32 32 1 500032 487.439 1
64 64 1 500064 604.208 1
128 128 1 500128 877.225 1
