numThreads mpi omp Nspheres force TotalRuntime isendRecvForces sendRecvStates waitForces collisionChecker collider Merge
8 8 1 1.00001e+06 -3.11983e+08 774.043 494.489 0.250542 0.0450746 0 0.540829 1
16 16 1 1.00002e+06 -6.18885e+08 563.171 244.721 0.270676 0.0469934 0 0.448251 1
32 32 1 1.00003e+06 -1.23269e+09 467.337 163.903 0.414558 0.0487925 0 0.448145 1
64 64 1 1.00006e+06 -1.60561e+09 407.81 92.2477 0.668902 0.0549817 0 0.447023 1
