numThreads mpi omp Nspheres wallTime merge
2 2 1 10002 28.8561 1
4 4 1 30004 53.703 1
8 8 1 70008 126.418 1
16 16 1 150016 336.928 1
32 32 1 310032 1105.36 1
64 64 1 630064 4003.21 1
