numThreads mpi omp Nspheres wallTime merge
16 16 1 1.00002e+06 902.633 1
32 32 1 1.00003e+06 1045.79 1
64 64 1 1.00006e+06 1163.2 1
128 128 1 1.00013e+06 1648.18 1
