numThreads mpi omp Nspheres wallTime merge
2 2 1 40002 103.198 1
4 4 1 120004 159.578 1
8 8 1 280008 332.294 1
16 16 1 600016 629.22 1
32 32 1 1.24003e+06 1389.17 1
