numThreads mpi omp Nspheres wallTime merge
2 2 1 10002 24.9629 1
4 4 1 30004 41.4613 1
8 8 1 70008 77.2893 1
16 16 1 150016 140.927 1
32 32 1 310032 304.002 1
64 64 1 630064 756.715 1
